Date,Open,High,Low,Close,Volume,VWAP
2007-11-27,770.0,1050.0,770.0,962.9,27294366,984.72
2007-11-28,984.0,990.0,874.0,893.9,4581338,941.38
2007-11-29,909.0,914.75,841.0,884.2,5124121,888.09
2007-11-30,890.0,958.0,890.0,921.55,4609762,929.17
2007-12-03,939.75,995.0,922.0,969.3,2977470,965.65
2007-12-04,985.0,1056.0,976.0,1041.45,4849250,1015.39
2007-12-05,1061.0,1099.5,1050.0,1082.45,2848209,1082.79
2007-12-06,1089.0,1109.7,1051.0,1081.3,1749516,1087.03
2007-12-07,1100.0,1134.0,1078.0,1102.4,2247904,1106.57
2007-12-10,1110.0,1110.0,1061.1,1075.4,1012350,1080.38
2007-12-11,1081.0,1089.0,1041.0,1047.65,810464,1067.8
2007-12-12,1032.0,1065.0,1016.0,1036.8,744799,1043.92
2007-12-13,1040.0,1150.0,1030.25,1129.95,3067687,1109.09
2007-12-14,1139.9,1140.0,1101.1,1110.5,1070737,1119.55
2007-12-17,1140.0,1168.0,1021.5,1044.25,1404955,1102.42
2007-12-18,1045.0,1109.9,1031.55,1074.95,1226984,1077.84
2007-12-19,1091.0,1116.0,1046.3,1066.9,845666,1082.93
2007-12-20,1083.5,1083.5,1051.0,1060.2,623288,1065.52
2007-12-24,1095.0,1192.0,1085.25,1156.8,2060892,1160.77
2007-12-26,1175.0,1214.0,1148.0,1199.9,1467031,1183.3
2007-12-27,1215.0,1240.0,1204.0,1211.65,977495,1222.58
2007-12-28,1189.4,1274.0,1175.0,1249.1,1164138,1221.31
2007-12-31,1263.35,1295.0,1261.0,1268.8,737249,1277.64
2008-01-01,1279.0,1319.0,1263.7,1296.85,491348,1285.72
2008-01-02,1310.25,1324.0,1270.0,1307.45,703815,1302.15
2008-01-03,1305.0,1314.7,1261.15,1275.8,505058,1289.24
2008-01-04,1278.8,1294.8,1233.0,1240.35,550795,1256.03
2008-01-07,1240.0,1278.9,1215.0,1227.25,630963,1244.76
2008-01-08,1240.0,1255.0,1185.0,1204.8,530499,1217.08
2008-01-09,1200.0,1210.0,1151.0,1180.25,627507,1176.37
2008-01-10,1185.0,1199.8,1110.0,1121.55,438806,1156.44
2008-01-11,1128.0,1130.0,1063.0,1085.85,616938,1087.78
2008-01-14,1082.4,1082.4,1031.1,1035.15,835916,1042.4
2008-01-15,1045.6,1078.7,1036.05,1049.55,830493,1050.69
2008-01-16,1046.0,1064.0,1000.0,1030.4,816188,1032.86
2008-01-17,1050.0,1053.5,1011.0,1020.9,336003,1033.73
2008-01-18,1010.0,1072.0,974.9,994.6,676854,1022.57
2008-01-21,995.0,1005.0,795.7,825.05,788623,880.77
2008-01-22,700.0,810.0,660.05,735.55,546161,703.2
2008-01-23,760.0,881.9,760.0,857.0,535462,818.67
2008-01-24,875.0,935.0,812.0,814.15,511017,854.83
2008-01-25,820.0,883.0,820.0,865.7,404045,858.33
2008-01-28,835.0,835.0,783.2,820.8,467052,804.38
2008-01-29,840.0,860.0,820.05,840.75,220070,841.27
2008-01-30,849.8,864.0,822.25,830.45,286190,833.82
2008-01-31,831.0,849.9,812.55,837.65,194300,833.58
2008-02-01,831.65,852.3,820.0,825.35,204391,828.09
2008-02-04,847.9,872.4,840.0,856.1,280230,858.77
2008-02-05,856.0,857.0,830.0,834.3,162093,842.06
2008-02-06,803.0,824.9,780.0,807.5,193260,810.5
2008-02-07,825.0,830.0,792.0,796.25,212932,809.53
2008-02-08,810.0,830.0,765.15,784.05,285025,781.48
2008-02-11,785.0,785.0,695.0,711.2,223955,736.23
2008-02-12,725.0,734.95,655.6,681.3,303409,681.38
2008-02-13,815.9,815.9,664.0,670.95,214900,681.68
2008-02-14,680.0,714.0,680.0,709.8,269032,704.71
2008-02-15,700.0,763.7,681.25,728.75,353049,734.23
2008-02-18,735.0,775.0,735.0,771.6,342580,762.33
2008-02-19,779.0,786.9,760.2,763.9,137412,772.24
2008-02-20,750.0,760.0,720.0,732.1,197489,730.61
2008-02-21,762.0,762.0,730.1,737.6,125558,741.53
2008-02-22,723.0,737.0,715.0,724.0,81070,726.52
2008-02-25,725.05,758.9,702.3,707.65,152803,711.7
2008-02-26,725.0,744.0,713.0,735.8,251269,733.73
2008-02-27,749.7,783.4,741.0,746.4,305320,762.47
2008-02-28,740.0,754.9,725.05,737.75,112491,738.91
2008-02-29,738.0,761.0,725.4,735.65,203872,742.88
2008-03-03,725.0,725.0,692.3,699.25,182510,709.31
2008-03-04,705.0,708.95,642.0,669.25,400996,663.93
2008-03-05,668.0,672.0,636.0,640.9,263263,649.58
2008-03-07,630.0,630.0,577.0,609.75,452949,595.79
2008-03-10,600.0,610.0,508.15,601.15,235966,588.84
2008-03-11,593.0,635.75,575.0,623.7,226830,623.24
2008-03-12,640.0,649.95,591.0,602.9,210739,625.61
2008-03-13,585.0,600.0,562.05,566.3,165515,579.98
2008-03-14,569.0,577.0,554.05,561.0,157189,561.01
2008-03-17,549.0,549.0,507.0,511.45,201577,524.19
2008-03-18,505.0,525.0,490.0,502.4,257617,505.47
2008-03-19,530.0,530.0,495.0,497.75,196021,510.0
2008-03-24,502.0,505.9,465.0,469.2,542915,474.92
2008-03-25,475.0,505.0,465.05,497.15,746747,493.01
2008-03-26,502.0,522.0,490.25,504.05,278415,508.57
2008-03-27,496.1,521.0,486.0,516.0,359725,512.99
2008-03-28,515.0,619.2,515.0,619.2,1546339,578.13
2008-03-31,625.0,673.4,570.0,578.75,2134980,629.52
2008-04-01,585.0,617.0,584.75,592.2,728839,598.4
2008-04-02,623.8,633.4,601.0,608.35,867551,614.65
2008-04-03,611.0,621.4,592.1,602.3,780026,605.99
2008-04-04,614.0,614.0,585.0,593.2,386898,594.38
2008-04-07,595.0,605.3,570.0,593.4,466172,590.59
2008-04-08,625.0,625.0,585.1,589.65,217730,590.78
2008-04-09,580.5,623.0,575.15,597.75,507422,605.82
2008-04-10,615.0,615.0,586.0,608.6,495019,609.93
2008-04-11,610.0,620.0,605.0,610.2,301522,612.7
2008-04-15,605.0,650.0,600.0,642.55,732463,630.29
2008-04-16,657.0,662.0,632.0,637.4,440549,648.05
2008-04-17,648.8,659.4,621.05,626.35,442496,642.94
2008-04-21,640.0,654.95,633.1,645.15,257175,644.67
2008-04-22,640.0,673.4,638.15,665.85,574697,661.65
2008-04-23,675.0,677.9,652.4,666.7,362552,664.87
2008-04-24,668.0,677.85,658.1,665.25,255828,665.17
2008-04-25,670.0,718.0,659.1,712.15,1510614,700.58
2008-04-28,725.0,741.1,703.0,736.45,1072156,727.8
2008-04-29,738.25,748.0,711.1,740.6,600573,729.11
2008-04-30,740.0,774.0,715.0,760.15,731082,760.03
2008-05-02,766.25,788.0,763.65,766.65,607475,775.93
2008-05-05,681.7,781.7,681.7,754.4,248543,768.38
2008-05-06,730.0,767.9,725.1,757.9,418643,754.53
2008-05-07,762.0,774.5,745.0,768.5,295381,765.19
2008-05-08,760.0,785.0,752.0,781.5,422630,771.48
2008-05-09,770.45,803.75,770.0,783.75,657740,787.68
2008-05-12,719.2,814.8,719.2,807.55,1245745,797.86
2008-05-13,818.4,827.5,786.15,792.85,469124,808.14
2008-05-14,790.0,802.25,782.0,789.2,168459,792.56
2008-05-15,795.0,808.9,785.0,790.85,139664,797.6
2008-05-16,795.0,800.0,771.2,775.6,184836,785.1
2008-05-20,776.0,904.7,770.0,884.05,3561137,855.33
